resource,feed_resource,tier,category,name,status,detail,note
Property,Property,1,field,CoListAgentMlsId,PASS,populated in 14/50 sampled rows,
Property,Property,1,field,CoListOfficeKey,PASS,populated in 14/50 sampled rows,
Property,Property,1,field,CoListOfficeMlsId,PASS,populated in 14/50 sampled rows,
Property,Property,1,field,Country,FAIL,not in feed metadata,
Property,Property,1,field,CountyOrParish,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,CumulativeDaysOnMarket,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,DaysOnMarket,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,DocumentsCount,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,ListAgentKey,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,ListAgentKeyNumeric,FAIL,not in feed metadata,
Property,Property,1,field,ListAgentMlsId,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,ListingId,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,ListingKey,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,ListingKeyNumeric,FAIL,not in feed metadata,
Property,Property,1,field,ListOfficeKey,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,ListOfficeKeyNumeric,FAIL,not in feed metadata,
Property,Property,1,field,ListOfficeMlsId,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,ListPrice,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,ModificationTimestamp,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,OriginalListPrice,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,OriginatingSystemName,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,PhotosCount,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,PrivateRemarks,PASS,populated in 43/50 sampled rows,
Property,Property,1,field,PropertyType,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,PublicRemarks,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,ShowingInstructions,PASS,populated in 44/50 sampled rows,
Property,Property,1,field,ShowingRequirements,PASS,populated in 14/50 sampled rows,
Property,Property,1,field,StandardStatus,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,StateOrProvince,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,StatusChangeTimestamp,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,StreetDirPrefix,PASS,populated in 46/50 sampled rows,
Property,Property,1,field,StreetDirSuffix,PASS,populated in 16/50 sampled rows,
Property,Property,1,field,StreetName,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,StreetNumber,PASS,populated in 48/50 sampled rows,
Property,Property,1,field,StreetNumberNumeric,PASS,populated in 48/50 sampled rows,
Property,Property,1,field,StreetSuffix,PASS,populated in 28/50 sampled rows,
Property,Property,2,field,AssociationFee,PASS,populated in 47/50 sampled rows,
Property,Property,2,field,AssociationFeeFrequency,PASS,populated in 49/50 sampled rows,
Property,Property,2,field,BuyerAgentFullName,PASS,populated in 7/50 sampled rows,
Property,Property,2,field,BuyerOfficeName,PASS,populated in 7/50 sampled rows,
Property,Property,2,field,CoBuyerAgentFullName,PASS,populated in 1/50 sampled rows,
Property,Property,2,field,CoListAgentFullName,PASS,populated in 14/50 sampled rows,
Property,Property,2,field,CoListOfficeName,PASS,populated in 14/50 sampled rows,
Property,Property,2,field,ContractStatusChangeDate,PASS,populated in 50/50 sampled rows,
Property,Property,2,field,GarageSpaces,PASS,populated in 47/50 sampled rows,
Property,Property,2,field,InternetAddressDisplayYN,PASS,populated in 50/50 sampled rows,
Property,Property,2,field,InternetEntireListingDisplayYN,PASS,populated in 50/50 sampled rows,
Property,Property,2,field,Latitude,PASS,populated in 50/50 sampled rows,
Property,Property,2,field,ListAgentDirectPhone,PASS,populated in 28/50 sampled rows,
Property,Property,2,field,ListAgentEmail,PASS,populated in 50/50 sampled rows,
Property,Property,2,field,ListAgentFullName,PASS,populated in 50/50 sampled rows,
Property,Property,2,field,ListAgentMobilePhone,PASS,populated in 29/50 sampled rows,
Property,Property,2,field,ListAgentPreferredPhone,PASS,populated in 47/50 sampled rows,
Property,Property,2,field,ListOfficeEmail,PASS,populated in 50/50 sampled rows,
Property,Property,2,field,ListOfficeName,PASS,populated in 50/50 sampled rows,
Property,Property,2,field,ListOfficePhone,PASS,populated in 6/50 sampled rows,
Property,Property,2,field,LivingArea,FAIL,not in feed metadata,
Property,Property,2,field,Longitude,PASS,populated in 50/50 sampled rows,
Property,Property,2,field,LotSizeAcres,PASS,populated in 49/50 sampled rows,
Property,Property,2,field,MlsStatus,PASS,populated in 50/50 sampled rows,
Property,Property,2,field,NewConstructionYN,PASS,populated in 43/50 sampled rows,
Property,Property,2,field,OnMarketDate,PASS,populated in 50/50 sampled rows,
Property,Property,2,field,ParkingTotal,FAIL,not in feed metadata,
Property,Property,2,field,PostalCode,PASS,populated in 50/50 sampled rows,
Property,Property,2,field,SeniorCommunityYN,PASS,populated in 5/50 sampled rows,
Property,Property,2,field,YearBuilt,PASS,populated in 48/50 sampled rows,
Property,Property,3,field,Appliances,FAIL,not in feed metadata,
Property,Property,3,field,ArchitecturalStyle,FAIL,not in feed metadata,
Property,Property,3,field,AssociationAmenities,EMPTY,populated in 0/50 sampled rows,
Property,Property,3,field,BathroomsOneQuarter,FAIL,not in feed metadata,
Property,Property,3,field,BathroomsThreeQuarter,FAIL,not in feed metadata,
Property,Property,3,field,BuyerAgentEmail,PASS,populated in 7/50 sampled rows,
Property,Property,3,field,BuyerAgentPreferredPhone,PASS,populated in 7/50 sampled rows,
Property,Property,3,field,CoListAgentEmail,PASS,populated in 14/50 sampled rows,
Property,Property,3,field,CoListAgentPreferredPhone,PASS,populated in 14/50 sampled rows,
Property,Property,3,field,CommunityFeatures,PASS,populated in 26/50 sampled rows,
Property,Property,3,field,Cooling,PASS,populated in 48/50 sampled rows,
Property,Property,3,field,ExteriorFeatures,EMPTY,populated in 0/50 sampled rows,
Property,Property,3,field,Heating,PASS,populated in 48/50 sampled rows,
Property,Property,3,field,InteriorFeatures,PASS,populated in 2/50 sampled rows,
Property,Property,3,field,ListAgentFirstName,PASS,populated in 50/50 sampled rows,
Property,Property,3,field,ListAgentLastName,PASS,populated in 50/50 sampled rows,
Property,Property,3,field,ListingContractDate,PASS,populated in 50/50 sampled rows,
Property,Property,3,field,ListOfficeURL,PASS,populated in 41/50 sampled rows,
Property,Property,3,field,LivingAreaUnits,FAIL,not in feed metadata,
Property,Property,3,field,LotFeatures,PASS,populated in 43/50 sampled rows,
Property,Property,3,field,OriginatingSystemModificationTimestamp,FAIL,not in feed metadata,
Property,Property,3,field,ParcelNumber,PASS,populated in 49/50 sampled rows,
Property,Property,3,field,ParkingFeatures,PASS,populated in 47/50 sampled rows,
Property,Property,3,field,PatioAndPorchFeatures,EMPTY,populated in 0/50 sampled rows,
Property,Property,3,field,PetsAllowed,FAIL,not in feed metadata,
Property,Property,3,field,PhotosChangeTimestamp,PASS,populated in 50/50 sampled rows,
Property,Property,3,field,PreviousListPrice,PASS,populated in 17/50 sampled rows,
Property,Property,3,field,PriceChangeTimestamp,PASS,populated in 17/50 sampled rows,
Property,Property,3,field,Stories,PASS,populated in 47/50 sampled rows,
Property,Property,3,field,UnparsedAddress,PASS,populated in 50/50 sampled rows,
Property,Property,3,field,VirtualTourURLBranded,EMPTY,populated in 0/50 sampled rows,
Property,Property,3,field,VirtualTourURLUnbranded,PASS,populated in 8/50 sampled rows,
Property,Property,4,field,AccessibilityFeatures,PASS,populated in 6/50 sampled rows,
Property,Property,4,field,AdditionalParcelsDescription,FAIL,not in feed metadata,
Property,Property,4,field,AdditionalParcelsYN,FAIL,not in feed metadata,
Property,Property,4,field,AvailabilityDate,FAIL,not in feed metadata,
Property,Property,4,field,Basement,PASS,populated in 8/50 sampled rows,
Property,Property,4,field,BedroomsPossible,FAIL,not in feed metadata,
Property,Property,4,field,BuyerAgentDirectPhone,PASS,populated in 3/50 sampled rows,
Property,Property,4,field,BuyerAgentFax,PASS,populated in 1/50 sampled rows,
Property,Property,4,field,BuyerAgentFirstName,PASS,populated in 7/50 sampled rows,
Property,Property,4,field,BuyerAgentLastName,PASS,populated in 7/50 sampled rows,
Property,Property,4,field,BuyerAgentMobilePhone,PASS,populated in 6/50 sampled rows,
Property,Property,4,field,BuyerAgentOfficePhone,EMPTY,populated in 0/50 sampled rows,
Property,Property,4,field,BuyerOfficeEmail,PASS,populated in 7/50 sampled rows,
Property,Property,4,field,BuyerOfficeFax,PASS,populated in 1/50 sampled rows,
Property,Property,4,field,BuyerOfficePhone,PASS,populated in 2/50 sampled rows,
Property,Property,4,field,BuyerOfficeURL,PASS,populated in 7/50 sampled rows,
Property,Property,4,field,CapRate,EMPTY,populated in 0/50 sampled rows,
Property,Property,4,field,CarportSpaces,PASS,populated in 47/50 sampled rows,
Property,Property,4,field,CoBuyerAgentFirstName,PASS,populated in 1/50 sampled rows,
Property,Property,4,field,CoBuyerAgentLastName,PASS,populated in 1/50 sampled rows,
Property,Property,4,field,CoListAgentDirectPhone,PASS,populated in 4/50 sampled rows,
Property,Property,4,field,CoListAgentFirstName,PASS,populated in 14/50 sampled rows,
Property,Property,4,field,CoListAgentLastName,PASS,populated in 14/50 sampled rows,
Property,Property,4,field,CoListAgentMobilePhone,PASS,populated in 11/50 sampled rows,
Property,Property,4,field,CoListAgentOfficePhone,PASS,populated in 2/50 sampled rows,
Property,Property,4,field,CoListOfficePhone,PASS,populated in 3/50 sampled rows,
Property,Property,4,field,CommonInterest,FAIL,not in feed metadata,
Property,Property,4,field,CrossStreet,PASS,populated in 6/50 sampled rows,
Property,Property,4,field,CurrentUse,FAIL,not in feed metadata,
Property,Property,4,field,Flooring,FAIL,not in feed metadata,
Property,Property,4,field,Furnished,FAIL,not in feed metadata,
Property,Property,4,field,LaundryFeatures,FAIL,not in feed metadata,
Property,Property,4,field,Levels,FAIL,not in feed metadata,
Property,Property,4,field,ListAgentFax,PASS,populated in 7/50 sampled rows,
Property,Property,4,field,ListAgentOfficePhone,PASS,populated in 11/50 sampled rows,
Property,Property,4,field,ListingTerms,PASS,populated in 46/50 sampled rows,
Property,Property,4,field,ListOfficeFax,PASS,populated in 18/50 sampled rows,
Property,Property,4,field,LotSizeDimensions,PASS,populated in 2/50 sampled rows,
Property,Property,4,field,MainLevelBathrooms,FAIL,not in feed metadata,
Property,Property,4,field,MainLevelBedrooms,FAIL,not in feed metadata,
Property,Property,4,field,NumberOfUnitsTotal,EMPTY,populated in 0/50 sampled rows,
Property,Property,4,field,NumberOfUnitsVacant,FAIL,not in feed metadata,
Property,Property,4,field,OffMarketDate,PASS,populated in 19/50 sampled rows,
Property,Property,4,field,OpenParkingSpaces,FAIL,not in feed metadata,
Property,Property,4,field,OriginalEntryTimestamp,PASS,populated in 50/50 sampled rows,
Property,Property,4,field,OwnershipType,FAIL,not in feed metadata,
Property,Property,4,field,PendingTimestamp,PASS,populated in 14/50 sampled rows,
Property,Property,4,field,PoolPrivateYN,PASS,populated in 3/50 sampled rows,
Property,Property,4,field,PossibleUse,FAIL,not in feed metadata,
Property,Property,4,field,PropertyAttachedYN,FAIL,not in feed metadata,
Property,Property,4,field,PurchaseContractDate,PASS,populated in 13/50 sampled rows,
Property,Property,4,field,RoomsTotal,PASS,populated in 48/50 sampled rows,
Property,Property,4,field,SeparateLivingUnitYN,FAIL,not in feed metadata,
Property,Property,4,field,SpecialListingConditions,EMPTY,populated in 0/50 sampled rows,
Property,Property,4,field,StructureType,FAIL,not in feed metadata,
Property,Property,4,field,TaxAnnualAmount,PASS,populated in 33/50 sampled rows,
Property,Property,4,field,TaxYear,PASS,populated in 30/50 sampled rows,
Property,Property,4,field,UnitNumber,PASS,populated in 14/50 sampled rows,
Property,Property,4,field,UnitTypes,FAIL,not in feed metadata,
Property,Property,4,field,WaterfrontYN,FAIL,not in feed metadata,
Agent,Member,1,requirement,"All agents should be sent, including inactive and datashare agents",VERIFY,verify with MLS,
Agent,Member,1,field,MemberDirectPhone,FAIL,not in feed metadata,
Agent,Member,1,field,MemberEmail,PASS,populated in 49/50 sampled rows,
Agent,Member,1,field,MemberFullName,PASS,populated in 50/50 sampled rows,
Agent,Member,1,field,MemberKey,PASS,populated in 50/50 sampled rows,
Agent,Member,1,field,MemberMlsId,PASS,populated in 50/50 sampled rows,
Agent,Member,1,field,MemberMobilePhone,PASS,populated in 27/50 sampled rows,
Agent,Member,1,field,MemberPreferredPhone,PASS,populated in 49/50 sampled rows,
Agent,Member,1,field,MemberStateLicense,PASS,populated in 47/50 sampled rows,
Agent,Member,1,field,MemberStateLicenseNumber,FAIL,not in feed metadata,
Agent,Member,1,field,MemberStateOrProvince,PASS,populated in 46/50 sampled rows,
Agent,Member,1,field,MemberStatus,PASS,populated in 50/50 sampled rows,
Agent,Member,1,field,ModificationTimestamp,PASS,populated in 50/50 sampled rows,
Agent,Member,1,field,OfficeKey,PASS,populated in 50/50 sampled rows,
Agent,Member,1,field,OfficeMlsId,PASS,populated in 50/50 sampled rows,
Agent,Member,1,field,OriginatingSystemName,PASS,populated in 50/50 sampled rows,
Agent,Member,2,field,MemberAddress1,PASS,populated in 46/50 sampled rows,
Agent,Member,2,field,MemberCity,PASS,populated in 46/50 sampled rows,
Agent,Member,2,field,MemberPostalCode,PASS,populated in 46/50 sampled rows,
Agent,Member,3,field,MemberAddress2,PASS,populated in 5/50 sampled rows,
Agent,Member,3,field,MemberFirstName,PASS,populated in 50/50 sampled rows,
Agent,Member,3,field,MemberHomePhone,FAIL,not in feed metadata,
Agent,Member,3,field,MemberLastName,PASS,populated in 49/50 sampled rows,
Agent,Member,3,field,MemberLoginId,EMPTY,populated in 0/50 sampled rows,
Agent,Member,4,field,JobTitle,FAIL,not in feed metadata,
Agent,Member,4,field,MemberNickname,PASS,populated in 26/50 sampled rows,
Office,Office,1,requirement,"All offices should be sent, including inactive and datashare offices",VERIFY,verify with MLS,
Office,Office,1,field,MainOfficeKey,PASS,populated in 50/50 sampled rows,
Office,Office,1,field,ModificationTimestamp,PASS,populated in 50/50 sampled rows,
Office,Office,1,field,OfficeAddress1,PASS,populated in 50/50 sampled rows,
Office,Office,1,field,OfficeCity,PASS,populated in 50/50 sampled rows,
Office,Office,1,field,OfficeEmail,PASS,populated in 50/50 sampled rows,
Office,Office,1,field,OfficeKey,PASS,populated in 50/50 sampled rows,
Office,Office,1,field,OfficeMlsId,PASS,populated in 50/50 sampled rows,
Office,Office,1,field,OfficeName,PASS,populated in 50/50 sampled rows,
Office,Office,1,field,OfficePhone,PASS,populated in 49/50 sampled rows,
Office,Office,1,field,OfficePostalCode,PASS,populated in 50/50 sampled rows,
Office,Office,1,field,OfficeStateOrProvince,PASS,populated in 50/50 sampled rows,
Office,Office,1,field,OfficeStatus,PASS,populated in 50/50 sampled rows,
Office,Office,1,field,OriginatingSystemName,PASS,populated in 50/50 sampled rows,
Office,Office,3,field,OfficeAddress2,PASS,populated in 8/50 sampled rows,
Office,Office,3,field,OfficeBrokerKey,PASS,populated in 46/50 sampled rows,
OpenHouse,OpenHouse,1,requirement,MLS must send Broker Tours / Agent-Only Open Houses and direct us to where they live,VERIFY,verify with MLS,
OpenHouse,OpenHouse,1,field,ListingKey,PASS,populated in 50/50 sampled rows,
OpenHouse,OpenHouse,1,field,ListingKeyNumeric,FAIL,not in feed metadata,
OpenHouse,OpenHouse,1,field,ListingId,FAIL,not in feed metadata,
OpenHouse,OpenHouse,1,field,OpenHouseStartTime,PASS,populated in 50/50 sampled rows,
OpenHouse,OpenHouse,1,field,OpenHouseEndTime,PASS,populated in 50/50 sampled rows,
OpenHouse,OpenHouse,1,field,OpenHouseKey,PASS,populated in 50/50 sampled rows,
OpenHouse,OpenHouse,1,field,OpenHouseRemarks,PASS,populated in 4/50 sampled rows,
OpenHouse,OpenHouse,1,field,OpenHouseType,PASS,populated in 50/50 sampled rows,
Media,Media,1,requirement,Confidential Documents must be in feed — direct us to where they live,PASS,"documents located in feed, verify captions/coverage",
Media,Media,1,requirement,"MediaStatus required if MLS uses ""private"" media status or similar access control",VERIFY,verify with MLS,
Media,Media,1,field,MediaKey,PASS,populated in 1779/1779 sampled rows,
Media,Media,1,field,MediaURL,PASS,populated in 1778/1779 sampled rows,
Media,Media,1,field,Order,PASS,populated in 1779/1779 sampled rows,
Media,Media,1,field,LongDescription,PASS,populated in 209/1779 sampled rows,
Media,Media,1,field,ShortDescription,PASS,populated in 1761/1779 sampled rows,
Media,Media,1,field,MediaCategory,PASS,populated in 1779/1779 sampled rows,
Media,Media,1,field,MediaModificationTimestamp,FAIL,not in feed metadata,
Media,Media,1,field,ModificationTimestamp,FAIL,not in feed metadata,
